customer_id,total_orders,total_revenue,total_profit,total_units,avg_order_value,last_order_date,customer_lifetime_days,customer_value_segment
C00001,3,3718.8525,695.8625000000002,7,1239.6175,2025-09-10,618,Mid-Low
C00002,4,4543.4325,1832.3224999999998,13,1135.858125,2024-12-28,362,Mid-Low
C00003,6,8166.5935,2360.1835,18,1361.0989166666666,2025-12-23,722,High Value
C00004,7,3043.388,1144.988,12,434.76971428571426,2025-11-20,689,Mid-Low
C00005,5,3000.47,535.8399999999998,8,600.0939999999999,2025-11-19,688,Mid-Low
C00006,6,2944.0315,988.9714999999999,11,490.6719166666667,2025-11-13,682,Low Value
C00007,10,7578.745999999999,2551.3459999999995,20,757.8745999999999,2025-12-06,705,High Value
C00008,3,2571.679,658.179,8,857.2263333333334,2025-11-02,671,Low Value
C00009,10,9174.7805,2119.5505000000007,20,917.47805,2025-10-28,666,High Value
C00010,9,7734.374,2235.0040000000004,26,859.3748888888889,2025-12-25,724,High Value
C00011,4,2484.147,813.7369999999999,12,621.03675,2025-11-24,693,Low Value
C00012,9,7448.6810000000005,2868.1910000000003,21,827.6312222222223,2025-12-28,727,High Value
C00013,1,14.512,-10.767999999999999,1,14.512,2025-09-27,635,Low Value
C00014,9,4333.4545,1363.2644999999998,16,481.4949444444444,2025-11-10,679,Mid-Low
C00015,12,7172.349499999999,1713.4995,26,597.6957916666667,2025-09-21,629,High Value
C00016,8,4007.7025000000003,1132.3225,15,500.96281250000004,2025-11-12,681,Mid-Low
C00017,2,5049.132,1833.7419999999995,7,2524.566,2025-11-01,670,Mid-High
C00018,7,5089.518,1449.3780000000002,12,727.074,2025-08-16,593,Mid-High
C00019,9,1814.8235,430.7835,20,201.64705555555554,2025-11-26,695,Low Value
C00020,6,2834.6169999999997,1106.787,11,472.4361666666666,2025-07-20,566,Low Value
C00021,14,7789.731,2473.1209999999996,27,556.4093571428572,2025-12-15,714,High Value
C00022,10,9721.57,3334.2600000000007,29,972.1569999999999,2025-11-07,676,High Value
C00023,5,6271.365,1702.8949999999998,13,1254.273,2025-11-18,687,Mid-High
C00024,6,3656.2695,807.7795000000001,13,609.37825,2025-11-07,676,Mid-Low
C00025,4,1394.808,527.528,6,348.702,2025-07-02,548,Low Value
C00026,9,7687.595,2292.395,18,854.1772222222222,2025-10-26,664,High Value
C00027,6,8770.063,2679.333,20,1461.6771666666666,2025-11-04,673,High Value
C00028,11,7855.318,2755.418,28,714.1198181818182,2025-10-26,664,High Value
C00029,6,5015.5425,1807.6725,20,835.9237499999999,2025-12-04,703,Mid-High
C00030,7,4266.883,1008.9030000000002,19,609.5547142857142,2025-09-21,629,Mid-Low
C00031,11,5320.6415,1265.3715000000002,20,483.6946818181818,2025-11-28,697,Mid-High
C00032,7,4566.398,1354.448,10,652.3425714285714,2025-11-13,682,Mid-Low
C00033,4,1990.96,624.78,8,497.74,2025-03-07,431,Low Value
C00034,6,6643.0845,1850.4244999999996,12,1107.18075,2025-09-23,631,Mid-High
C00035,8,4949.615,1243.325,12,618.701875,2025-05-12,497,Mid-High
C00036,8,6812.029,1624.439,13,851.503625,2025-12-26,725,High Value
C00037,7,4708.835,1844.2150000000001,10,672.6907142857143,2025-12-27,726,Mid-High
C00038,11,6556.105,1581.375,23,596.0095454545454,2025-12-26,725,Mid-High
C00039,3,823.9330000000001,160.41300000000007,5,274.64433333333335,2025-12-30,729,Low Value
C00040,6,2060.9555,523.8755000000001,9,343.49258333333336,2025-12-17,716,Low Value
C00041,7,7225.3405,2220.7205,14,1032.1915000000001,2025-11-07,676,High Value
C00042,9,4283.794,1407.9339999999997,18,475.97711111111107,2025-06-14,530,Mid-Low
